release,release_kind,release_date,other_share,other_weighted_churn_points,total_weighted_churn_points,top_paths
rust-v0.0.2504301132,stable,2025-04-30T11:59:09-07:00,0.8593,524.0,609.8,codex-rs/repl/src/lib.rs (448); codex-rs/repl/src/cli.rs (65); codex-rs/repl/src/main.rs (11)
rust-v0.0.2504301219,stable,2025-04-30T12:19:52-07:00,0.6701,26.0,38.8,codex-rs/scripts/create_github_release.sh (26)
rust-v0.0.2505291458,stable,2025-05-29T14:58:23-07:00,0.1177,176.0,1495.4,codex-rs/common/src/config_override.rs (170); codex-rs/common/src/lib.rs (6)
rust-v0.0.2505291659,stable,2025-05-29T16:59:14-07:00,0.1111,4.0,36.0,codex-rs/common/src/config_override.rs (4)
rust-v0.0.2505301630,stable,2025-05-30T16:30:45-07:00,0.127,377.0,2968.0,codex-rs/config.md (377)
rust-v0.0.2505302325,stable,2025-05-30T23:25:09-07:00,0.1471,10.0,68.0,codex-rs/config.md (10)
rust-v0.0.2506261603,stable,2025-06-26T16:03:47-07:00,0.2071,464.0,2241.0,codex-rs/file-search/src/lib.rs (284); codex-rs/config.md (61); codex-rs/file-search/src/main.rs (50); codex-rs/file-search/src/cli.rs (38); .devcontainer/Dockerfile (16); .devcontainer/devcontainer.json (8); codex-rs/common/src/lib.rs (7)
rust-v0.1.0-alpha.1,prerelease,2025-06-28T15:28:57-07:00,0.2143,257.0,1199.4,codex-rs/file-search/src/lib.rs (146); codex-rs/config.md (64); codex-rs/file-search/src/main.rs (36); codex-rs/scripts/create_github_release.sh (7); codex-rs/file-search/src/cli.rs (4)
rust-v0.1.0-alpha.4,prerelease,2025-06-28T15:40:08-07:00,0.8,8.0,10.0,codex-rs/scripts/create_github_release.sh (8)
rust-v0.2.0-alpha.2,prerelease,2025-06-29T10:19:39-07:00,0.8462,11.0,13.0,codex-rs/scripts/create_github_release.sh (11)
rust-v0.2.0,stable,2025-06-30T12:12:54-07:00,0.2053,28.0,136.4,codex-rs/config.md (18); codex-rs/scripts/create_github_release.sh (10)
rust-v0.6.0,stable,2025-07-12T16:22:59-07:00,0.2043,202.0,988.6,codex-rs/chatgpt/src/apply_command.rs (89); codex-rs/chatgpt/src/chatgpt_client.rs (45); codex-rs/chatgpt/src/get_task.rs (40); codex-rs/chatgpt/src/chatgpt_token.rs (24); codex-rs/chatgpt/src/lib.rs (4)
rust-v0.13.0,stable,2025-08-05T13:56:20-07:00,0.1917,680.0,3547.9,codex-rs/ollama/src/client.rs (351); codex-rs/ollama/src/pull.rs (147); codex-rs/ollama/src/parser.rs (82); codex-rs/ollama/src/lib.rs (44); codex-rs/ollama/src/url.rs (39); codex-rs/config.md (13); .vscode/settings.json (4)
rust-v0.14.0-alpha.2,prerelease,2025-08-06T01:15:58-07:00,0.1071,33.0,308.1,codex-rs/common/src/config_summary.rs (29); codex-rs/common/src/lib.rs (4)
rust-v0.14.0,stable,2025-08-06T09:17:54-07:00,0.2857,40.0,140.0,INIT.md (40)
rust-v0.23.0-alpha.1,prerelease,2025-08-15T14:48:30-07:00,0.1112,44.0,395.8,package-lock.json (33); AGENTS.md (9); codex-rs/{core => protocol}/src/protocol.rs (2)
rust-v0.23.0-alpha.2,prerelease,2025-08-17T10:04:55-07:00,0.0579,36.0,622.0,.vscode/launch.json (36)
rust-v0.23.0-alpha.6,prerelease,2025-08-19T19:54:57-07:00,0.0551,129.0,2340.86,codex-rs/common/src/model_presets.rs (54); codex-rs/protocol-ts/src/lib.rs (23); codex-rs/file-search/src/lib.rs (20); codex-rs/config.md (17); codex-rs/arg0/src/lib.rs (8); codex-rs/ollama/src/client.rs (5); codex-rs/common/src/lib.rs (2)
rust-v0.23.0,stable,2025-08-19T22:36:20-07:00,0.0884,13.0,147.0,codex-rs/config.md (10); codex-rs/common/src/lib.rs (3)
rust-v0.24.0-alpha.5,prerelease,2025-08-24T14:39:55-07:00,0.3816,88.0,230.6,codex-rs/arg0/src/lib.rs (88)
rust-v0.24.0-alpha.7,prerelease,2025-08-25T10:24:32-07:00,0.8738,36.0,41.2,codex-rs/protocol-ts/src/lib.rs (36)
rust-v0.26.0,stable,2025-08-28T20:22:19-07:00,0.1546,784.0,5069.9,codex-rs/config.md (566); CHANGELOG.md (212); scripts/readme_toc.py (6)
rust-v0.31.0-alpha.3,prerelease,2025-09-08T08:14:35-07:00,0.3122,360.0,1153.0,codex-rs/scripts/create_github_release (296); codex-rs/scripts/create_github_release.sh (64)
rust-v0.35.0,stable,2025-09-15T08:52:25-07:00,0.131,22.0,168.0,codex-rs/common/src/model_presets.rs (22)
rust-v0.37.0-alpha.2,prerelease,2025-09-16T21:03:41-07:00,0.2314,118.0,509.9,scripts/publish_to_npm.py (118)
rust-v0.40.0-alpha.3,prerelease,2025-09-22T20:31:50-07:00,0.1074,12.0,111.68,codex-rs/common/src/model_presets.rs (12)
rust-v0.41.0-alpha.1,prerelease,2025-09-23T23:04:06-07:00,0.1044,251.0,2403.1,codex-rs/common/src/readiness.rs (249); codex-rs/common/src/lib.rs (2)
rust-v0.42.0-alpha.3,prerelease,2025-09-26T08:20:06-07:00,0.7476,401.0,536.4,codex-rs/responses-api-proxy/src/lib.rs (202); codex-rs/responses-api-proxy/src/read_api_key.rs (185); codex-rs/responses-api-proxy/src/main.rs (14)
rust-v0.43.0-alpha.3,prerelease,2025-09-28T15:25:35-07:00,0.05,32.0,639.8,codex-rs/{cli/src/pre_main_hardening.rs => process-hardening/src/lib.rs} (16); codex-rs/responses-api-proxy/src/main.rs (16)
rust-v0.43.0-alpha.4,prerelease,2025-09-28T19:34:27-07:00,0.2985,140.0,469.0,codex-rs/responses-api-proxy/npm/bin/codex-responses-api-proxy.js (97); codex-rs/responses-api-proxy/src/read_api_key.rs (43)
rust-v0.43.0-alpha.6,prerelease,2025-09-30T12:03:54-07:00,0.2246,1718.0,7649.8,codex-rs/git-apply/src/lib.rs (698); codex-rs/backend-client/src/types.rs (369); codex-rs/backend-client/src/client.rs (244); codex-rs/codex-backend-openapi-models/src/models/git_pull_request.rs (77); codex-rs/codex-backend-openapi-models/src/models/task_list_item.rs (63); codex-rs/codex-backend-openapi-models/src/models/task_response.rs (62); codex-rs/chatgpt/src/apply_command.rs (52); codex-rs/codex-backend-openapi-models/src/models/code_task_details_response.rs (42)
rust-v0.43.0-alpha.7,prerelease,2025-09-30T14:54:23-07:00,0.7385,74.0,100.2,codex-rs/protocol-ts/src/lib.rs (74)
rust-v0.43.0-alpha.9,prerelease,2025-10-01T08:30:36-07:00,0.0837,187.0,2233.3,scripts/stage_npm_packages.py (187)
rust-v0.43.0-alpha.13,prerelease,2025-10-01T12:15:47-07:00,0.3651,23.0,63.0,codex-rs/scripts/create_github_release (23)
rust-v0.45.0-alpha.4,prerelease,2025-10-05T13:59:12-07:00,0.109,138.0,1266.6,codex-rs/responses-api-proxy/src/read_api_key.rs (138)
rust-v0.45.0-alpha.5,prerelease,2025-10-05T18:04:12-07:00,0.066,36.0,545.3,codex-rs/ollama/src/parser.rs (33); codex-rs/utils/readiness/src/lib.rs (3)
rust-v0.47.0,stable,2025-10-17T09:46:07-07:00,0.0818,301.0,3679.38,codex-rs/feedback/src/lib.rs (231); codex-rs/common/src/format_env_display.rs (66); codex-rs/common/src/lib.rs (3); AGENTS.md (1)
rust-v0.48.0-alpha.1,prerelease,2025-10-19T21:41:54-07:00,0.089,230.0,2584.1,codex-rs/async-utils/src/lib.rs (86); codex-rs/default.nix (65); codex-rs/stdio-to-uds/src/lib.rs (52); codex-rs/stdio-to-uds/src/main.rs (19); codex-rs/clippy.toml (4); codex-rs/config.md (2); codex-rs/.gitignore (1); .vscode/settings.json (1)
rust-v0.48.0-alpha.3,prerelease,2025-10-21T14:03:19-07:00,0.0721,133.0,1845.4,codex-rs/common/src/model_presets.rs (123); scripts/debug-codex.sh (10)
rust-v0.50.0-alpha.3,prerelease,2025-10-24T23:08:22-07:00,0.1049,91.0,867.24,codex-rs/feedback/src/lib.rs (91)
rust-v0.51.0-alpha.3,prerelease,2025-10-27T14:57:03-07:00,0.1743,664.0,3810.5,codex-rs/utils/image/src/lib.rs (252); codex-rs/keyring-store/src/lib.rs (226); codex-rs/utils/cache/src/lib.rs (159); codex-rs/utils/image/src/error.rs (25); codex-rs/chatgpt/src/chatgpt_token.rs (2)
rust-v0.54.0-alpha.2,prerelease,2025-11-03T10:07:20-08:00,0.1024,57.0,556.54,codex-rs/responses-api-proxy/src/lib.rs (39); codex-rs/responses-api-proxy/src/read_api_key.rs (18)
rust-v0.57.0-alpha.2,prerelease,2025-11-07T16:36:56-08:00,0.1175,72.0,612.9,codex-rs/scripts/create_github_release (72)
rust-v0.58.0-alpha.1,prerelease,2025-11-10T09:26:29-08:00,0.1397,171.0,1224.36,codex-rs/protocol-ts/src/lib.rs (135); codex-rs/protocol-ts/src/main.rs (20); codex-rs/protocol-ts/generate-ts (10); codex-rs/common/src/config_override.rs (6)
rust-v0.58.0-alpha.3,prerelease,2025-11-10T17:43:43-08:00,0.0655,78.0,1190.32,codex-rs/arg0/src/lib.rs (75); codex-rs/utils/pty/src/lib.rs (3)
rust-v0.58.0-alpha.8,prerelease,2025-11-12T19:48:43-08:00,0.1124,86.0,764.96,codex-rs/common/src/model_presets.rs (86)
rust-v0.58.0-alpha.9,prerelease,2025-11-12T22:29:37-08:00,0.506,320.0,632.46,codex-rs/common/src/model_presets.rs (320)
rust-v0.59.0-alpha.6,prerelease,2025-11-17T08:20:23-08:00,0.0894,46.0,514.3,codex-rs/process-hardening/src/lib.rs (33); codex-rs/utils/image/src/error.rs (13)
rust-v0.59.0-alpha.7,prerelease,2025-11-17T22:26:19-08:00,0.0694,516.0,7437.44,codex-rs/lmstudio/src/client.rs (397); codex-rs/common/src/oss.rs (60); codex-rs/lmstudio/src/lib.rs (43); codex-rs/ollama/src/client.rs (9); .gitignore (3); codex-rs/utils/tokenizer/src/lib.rs (2); codex-rs/common/src/lib.rs (2)
rust-v0.59.0-alpha.8,prerelease,2025-11-18T09:13:36-08:00,0.1329,146.0,1098.8,codex-rs/utils/git/src/branch.rs (144); codex-rs/utils/git/src/lib.rs (2)
rust-v0.59.0-alpha.13,prerelease,2025-11-19T00:39:57-08:00,0.0527,68.0,1289.42,codex-rs/common/src/model_presets.rs (68)
rust-v0.59.0-alpha.16,prerelease,2025-11-19T11:23:51Z,0.5812,214.0,368.2,codex-rs/utils/git/src/ghost_commits.rs (210); codex-rs/utils/git/src/lib.rs (4)
rust-v0.59.0-alpha.19,prerelease,2025-11-19T09:00:38-08:00,0.1148,48.0,418.0,codex-rs/common/src/model_presets.rs (48)
rust-v0.60.0-alpha.1,prerelease,2025-11-19T11:08:36-08:00,0.0574,38.0,661.72,codex-rs/backend-client/src/client.rs (37); codex-rs/backend-client/src/types.rs (1)
rust-v0.64.0-alpha.9,prerelease,2025-11-25T18:19:15Z,0.0781,537.0,6876.5,codex-rs/client.md (206); codex-rs/codex-client/src/transport.rs (107); codex-rs/codex-client/src/retry.rs (73); codex-rs/codex-client/src/sse.rs (48); codex-rs/codex-client/src/request.rs (39); codex-rs/codex-client/src/error.rs (29); codex-rs/codex-client/src/lib.rs (21); codex-rs/codex-client/src/telemetry.rs (14)
rust-v0.64.0-alpha.10,prerelease,2025-11-28T11:33:45Z,0.1645,206.0,1252.3,codex-rs/client.md (206)
rust-v0.65.0-alpha.1,prerelease,2025-12-02T16:11:38-08:00,0.0844,336.0,3982.5,codex-rs/utils/git/src/ghost_commits.rs (324); codex-rs/codex-client/src/transport.rs (12)
rust-v0.65.0-alpha.7,prerelease,2025-12-03T15:03:31-08:00,0.258,186.0,720.8,codex-rs/{common/src => core/src/openai_models}/model_presets.rs (184); codex-rs/common/src/lib.rs (2)
rust-v0.66.0-alpha.14,prerelease,2025-12-08T18:23:14-08:00,0.1184,98.0,827.8,codex-rs/process-hardening/src/lib.rs (98)
rust-v0.67.0-alpha.3,prerelease,2025-12-09T19:33:21-08:00,0.25,895.0,3580.3,codex-rs/utils/pty/src/win/psuedocon.rs (322); codex-rs/utils/pty/src/win/mod.rs (169); codex-rs/utils/absolute-path/src/lib.rs (152); codex-rs/utils/pty/src/win/conpty.rs (144); codex-rs/utils/pty/src/win/procthreadattr.rs (91); codex-rs/utils/pty/src/lib.rs (16); .codespellignore (1)
rust-v0.67.0-alpha.8,prerelease,2025-12-10T11:19:21-08:00,0.1097,302.0,2754.12,codex-rs/codex-client/src/default_client.rs (143); codex-rs/utils/git/src/branch.rs (132); codex-rs/codex-client/src/transport.rs (10); codex-rs/ollama/src/lib.rs (5); codex-rs/lmstudio/src/lib.rs (5); codex-rs/common/src/config_summary.rs (4); codex-rs/codex-client/src/lib.rs (3)
rust-v0.68.0,stable,2025-12-10T12:33:29-08:00,0.1882,32.0,170.0,codex-rs/scripts/create_github_release (32)
rust-v0.72.0-alpha.1,prerelease,2025-12-11T14:06:39-08:00,0.3259,412.0,1264.0,codex-rs/scripts/create_github_release (411); codex-rs/default.nix (1)
rust-v0.73.0-alpha.2,prerelease,2025-12-15T11:22:39+01:00,0.3789,703.0,1855.4,codex-rs/utils/git/src/ghost_commits.rs (697); codex-rs/utils/git/src/lib.rs (4); codex-rs/docs/protocol_v1.md (2)
rust-v0.78.0-alpha.9,prerelease,2025-12-27T18:18:38+01:00,0.1261,133.0,1055.1,codex-rs/utils/cargo-bin/src/lib.rs (127); AGENTS.md (6)
rust-v0.80.0-alpha.3,prerelease,2026-01-07T13:24:26-08:00,0.0574,97.0,1690.5,codex-rs/codex-client/src/transport.rs (73); codex-rs/codex-client/src/request.rs (14); codex-rs/codex-client/src/default_client.rs (7); codex-rs/utils/absolute-path/src/lib.rs (2); codex-rs/codex-client/src/lib.rs (1)
rust-v0.80.0-alpha.5,prerelease,2026-01-08T21:20:01-08:00,0.2076,1342.0,6464.86,codex-rs/debug-client/src/client.rs (398); codex-rs/debug-client/src/reader.rs (332); codex-rs/debug-client/src/main.rs (293); codex-rs/debug-client/src/commands.rs (156); codex-rs/debug-client/src/output.rs (121); codex-rs/debug-client/src/state.rs (28); codex-rs/chatgpt/src/chatgpt_token.rs (9); codex-rs/backend-client/src/client.rs (4)
rust-v0.81.0-alpha.8,prerelease,2026-01-13T17:04:01-08:00,0.0855,195.0,2281.5,scripts/mock_responses_websocket_server.py (195)
rust-v0.82.0-alpha.2,prerelease,2026-01-14T18:55:45Z,0.7732,1234.0,1595.9,codex-rs/utils/pty/src/lib.rs (288); codex-rs/utils/pty/src/tests.rs (242); codex-rs/utils/pty/src/pipe.rs (232); codex-rs/utils/pty/src/pty.rs (174); codex-rs/utils/pty/src/process.rs (147); codex-rs/utils/pty/src/process_group.rs (135); codex-rs/codex-client/src/default_client.rs (16)
rust-v0.87.0-alpha.2,prerelease,2026-01-16T15:59:37+01:00,0.371,64.0,172.5,codex-rs/utils/pty/src/pipe.rs (62); codex-rs/utils/pty/src/lib.rs (2)
rust-v0.88.0-alpha.4,prerelease,2026-01-19T11:36:01Z,0.0737,67.0,908.5,codex-rs/utils/pty/src/tests.rs (43); codex-rs/utils/pty/src/process_group.rs (22); codex-rs/utils/pty/src/pipe.rs (2)
rust-v0.88.0-alpha.8,prerelease,2026-01-19T13:43:31-08:00,0.0857,21.0,245.0,codex-rs/docs/protocol_v1.md (21)
rust-v0.90.0-alpha.3,prerelease,2026-01-24T15:58:43+01:00,0.4315,3112.0,7211.46,codex-rs/network-proxy/src/runtime.rs (984); codex-rs/network-proxy/src/http_proxy.rs (636); codex-rs/network-proxy/src/config.rs (433); codex-rs/network-proxy/src/state.rs (419); codex-rs/network-proxy/src/upstream.rs (188); codex-rs/network-proxy/src/proxy.rs (176); codex-rs/network-proxy/src/admin.rs (160); codex-rs/network-proxy/src/responses.rs (67)
rust-v0.93.0-alpha.1,prerelease,2026-01-27T15:04:15-08:00,0.1196,634.0,5299.6,codex-rs/network-proxy/src/socks5.rs (320); codex-rs/network-proxy/src/http_proxy.rs (110); codex-rs/network-proxy/src/proxy.rs (56); codex-rs/network-proxy/src/config.rs (50); codex-rs/codex-backend-openapi-models/src/models/config_file_response.rs (40); codex-rs/network-proxy/src/runtime.rs (26); codex-rs/backend-client/src/client.rs (15); PNPM.md (6)
rust-v0.93.0-alpha.6,prerelease,2026-01-28T13:49:37-07:00,0.417,913.0,2189.3,codex-rs/file-search/src/lib.rs (913)
rust-v0.93.0-alpha.7,prerelease,2026-01-28T21:14:53-07:00,0.091,289.0,3175.04,codex-rs/utils/cargo-bin/src/lib.rs (221); codex-rs/chatgpt/src/chatgpt_client.rs (51); codex-rs/docs/protocol_v1.md (9); .bazelrc (6); codex-rs/utils/cargo-bin/repo_root.marker (1); .bazelignore (1)
rust-v0.93.0-alpha.9,prerelease,2026-01-28T23:33:24-08:00,0.625,70.0,112.0,PNPM.md (70)
rust-v0.93.0-alpha.25,prerelease,2026-01-30T18:58:05-08:00,0.229,358.0,1563.3,codex-rs/file-search/src/lib.rs (210); codex-rs/utils/home-dir/src/lib.rs (128); codex-rs/network-proxy/src/state.rs (14); codex-rs/file-search/src/main.rs (4); announcement_tip.toml (2)
rust-v0.94.0-alpha.11,prerelease,2026-02-02T13:33:55Z,0.1306,298.0,2281.42,codex-rs/codex-experimental-api-macros/src/lib.rs (293); codex-rs/debug-client/src/client.rs (4); codex-rs/utils/cargo-bin/src/lib.rs (1)
rust-v0.94.0,stable,2026-02-02T09:44:09-08:00,0.1306,298.0,2281.42,codex-rs/codex-experimental-api-macros/src/lib.rs (293); codex-rs/debug-client/src/client.rs (4); codex-rs/utils/cargo-bin/src/lib.rs (1)
rust-v0.95.0-alpha.1,prerelease,2026-02-02T13:02:34-08:00,0.0789,298.0,3774.7,codex-rs/codex-experimental-api-macros/src/lib.rs (293); codex-rs/debug-client/src/client.rs (4); codex-rs/utils/cargo-bin/src/lib.rs (1)
rust-v0.95.0-alpha.6,prerelease,2026-02-03T11:32:56Z,0.0648,762.0,11752.5,codex-rs/secrets/src/local.rs (411); codex-rs/secrets/src/lib.rs (243); codex-rs/ollama/src/lib.rs (62); codex-rs/common/src/oss.rs (39); codex-rs/ollama/src/client.rs (7)
rust-v0.95.0-alpha.8,prerelease,2026-02-03T22:04:05Z,0.1397,141.0,1009.5,codex-rs/arg0/src/lib.rs (141)
rust-v0.99.0-alpha.6,prerelease,2026-02-06T11:12:10-08:00,0.1406,315.0,2239.9,codex-rs/network-proxy/src/http_proxy.rs (120); codex-rs/network-proxy/src/responses.rs (103); codex-rs/network-proxy/src/socks5.rs (92)
rust-v0.99.0-alpha.7,prerelease,2026-02-06T22:02:25-08:00,0.1133,458.0,4042.5,codex-rs/network-proxy/src/state.rs (185); codex-rs/network-proxy/src/runtime.rs (157); codex-rs/network-proxy/src/config.rs (60); codex-rs/utils/pty/src/process_group.rs (27); AGENTS.md (15); codex-rs/network-proxy/src/proxy.rs (10); codex-rs/network-proxy/src/http_proxy.rs (4)
rust-v0.99.0-alpha.10,prerelease,2026-02-09T11:25:58Z,0.0868,597.0,6876.28,codex-rs/network-proxy/src/state.rs (244); codex-rs/network-proxy/src/runtime.rs (123); codex-rs/utils/pty/src/tests.rs (60); codex-rs/file-search/src/lib.rs (49); codex-rs/network-proxy/src/proxy.rs (41); codex-rs/network-proxy-cli/src/main.rs (19); codex-rs/network-proxy/src/lib.rs (18); codex-rs/network-proxy/src/main.rs (14)
rust-v0.99.0-alpha.14,prerelease,2026-02-10T01:46:47-08:00,0.2983,600.0,2011.38,codex-rs/network-proxy/src/proxy.rs (512); codex-rs/network-proxy/src/socks5.rs (25); codex-rs/network-proxy/src/http_proxy.rs (23); codex-rs/network-proxy/src/admin.rs (21); codex-rs/utils/rustls-provider/src/lib.rs (12); codex-rs/network-proxy/src/lib.rs (7)
rust-v0.99.0-alpha.25,prerelease,2026-02-11T11:37:25Z,0.0796,269.0,3378.9,codex-rs/backend-client/src/client.rs (219); codex-rs/codex-backend-openapi-models/src/models/additional_rate_limit_details.rs (38); codex-rs/codex-backend-openapi-models/src/models/rate_limit_status_payload.rs (8); codex-rs/codex-backend-openapi-models/src/models/mod.rs (3); codex-rs/backend-client/src/types.rs (1)
rust-v0.100.0-alpha.11,prerelease,2026-02-12T17:15:57Z,0.0834,41.0,491.4,codex-rs/utils/sanitizer/src/lib.rs (41)
rust-v0.102.0-alpha.2,prerelease,2026-02-13T09:38:27Z,0.7006,637.0,909.2,codex-rs/network-proxy/src/runtime.rs (237); codex-rs/network-proxy/src/http_proxy.rs (164); codex-rs/network-proxy/src/proxy.rs (83); codex-rs/network-proxy/src/responses.rs (66); codex-rs/network-proxy/src/metadata.rs (50); codex-rs/network-proxy/src/socks5.rs (26); .codespellignore (4); codex-rs/network-proxy/src/lib.rs (2)
rust-v0.102.0-alpha.5,prerelease,2026-02-13T18:35:16Z,0.1693,302.0,1783.5,codex-rs/utils/sleep-inhibitor/src/macos_inhibitor.rs (192); codex-rs/utils/sleep-inhibitor/src/lib.rs (94); codex-rs/utils/sleep-inhibitor/src/dummy.rs (16)
rust-v0.102.0-alpha.7,prerelease,2026-02-14T11:19:45-08:00,0.0527,183.0,3475.3,codex-rs/network-proxy/src/runtime.rs (122); codex-rs/network-proxy/src/proxy.rs (30); codex-rs/docs/bazel.md (15); scripts/check-module-bazel-lock.sh (8); codex-rs/network-proxy/src/lib.rs (4); AGENTS.md (4)
rust-v0.102.0-alpha.10,prerelease,2026-02-16T23:12:08-08:00,0.2233,32.0,143.3,codex-rs/shell-command/src/bash.rs (32)
rust-v0.104.0-alpha.1,prerelease,2026-02-17T18:21:43-08:00,0.0625,75.0,1200.1,codex-rs/network-proxy/src/http_proxy.rs (45); codex-rs/network-proxy/src/proxy.rs (30)
rust-v0.105.0-alpha.8,prerelease,2026-02-20T18:18:12Z,0.5249,363.0,691.6,codex-rs/utils/sleep-inhibitor/src/macos_inhibitor.rs (192); codex-rs/utils/sleep-inhibitor/src/macos.rs (107); codex-rs/utils/sleep-inhibitor/src/iokit_bindings.rs (27); codex-rs/utils/sleep-inhibitor/src/lib.rs (25); codex-rs/utils/sleep-inhibitor/src/dummy.rs (12)
rust-v0.105.0-alpha.9,prerelease,2026-02-20T14:49:16-08:00,0.1064,433.0,4067.8,codex-rs/network-proxy/src/runtime.rs (117); codex-rs/network-proxy/src/config.rs (107); codex-rs/network-proxy/src/proxy.rs (56); codex-rs/network-proxy/src/http_proxy.rs (54); codex-rs/network-proxy/src/metadata.rs (50); codex-rs/network-proxy/src/state.rs (21); codex-rs/feedback/src/lib.rs (17); codex-rs/network-proxy/src/socks5.rs (8)
